Pris,Area,Avgift,Rum
4550000,40.5,2317,2
8500000,107,6020,4
6500000,77,3703,3
11775000,109,4196,3
2425000,30,2176,1
3175000,31,2286,2
6300000,63,2304,2
3550000,30,1616,1
3600000,40,1903,2
4100000,49,2777,2
7100000,70,2673,3
3550000,33,1866,1
7500000,98.7,3587,4
4900000,48,866,2
5150000,73,3801,2
5400000,80.5,3635,3
4050000,36,2060,2
10400000,130,5099,4
4250000,37,1827,2
9550000,95,4938,3
2700000,22,1244,1
2495000,33,2198,1
10800000,145,4904,5
7300000,81,2810,3
5100000,54,1730,2
2800000,39,1947,2
4900000,57,3837,3
6600000,70.5,3702,3
6025000,59,1699,2
1e+07,78,3785,3
2575000,24,1273,1
3650000,38,1485,2
5850000,58,2393,2
4400000,51,2960,2
4100000,50,3275,2
2850000,32,1946,2
4e+06,41,1727,2
3650000,34,1363,2
2850000,32,781,1
3420000,32,1699,1
2610000,28,1538,1
10100000,134,5645,5
7700000,96,4962,4
4310000,47,2448,2
4550000,51,3559,2
3260000,31,2279,1
6350000,90.3,3491,3
7800000,88,4292,3
3200000,39,2304,2
5e+06,60,3536,2
5e+06,64,2754,2
3600000,34.7,1953,2
8225000,80,4788,3
2890000,28,1208,1
6120000,57,2168,3
4250000,44,2742,2
10250000,85,4527,3
9700000,82,4527,3
4700000,41,1751,2
5920000,74,2277,3
6750000,66,2969,3
4330000,38,2009,2
7710000,104,5536,4
7400000,92,4701,4
5e+06,50,3149,2
10295000,103,2930,4
3030000,31,1884,2
2700000,34,2648,2
2700000,26,1543,1
2870000,27,1486,1
4025000,41.5,1836,2
4220000,39,2076,2
2875000,27,1256,1
3075000,29,1546,1
2550000,21,389,1
3370000,37,1992,1
3950000,49,2703,2
2685000,25,1282,1
4300000,52.5,3442,2
4700000,62.5,2944,2
2800000,28,1307,1
4310000,60,3168,3
2945000,29,833,1
6200000,66,3545,3
5550000,60,3789,2
4800000,51.5,2466,2
3e+06,30,1694,1
3250000,37,1709,2
22300000,168,8518,6
2975000,38,2319,1
9800000,80,4055,3
4570000,50,3100,2
3870000,53,2247,2
2375000,26,1638,1
8500000,74,4056,3
4356000,42,1020,2
2450000,19.5,462,1
6150000,60,1815,3
4610000,48,3307,2
3450000,38,2130,1
3900000,46,2439,1
3050000,34,1741,1
2750000,33,1739,1
10800000,115,2009,4
3750000,34,1304,2
5800000,63,2781,2
5e+06,69,4597,2
4650000,60,4553,2
2600000,25,659,1
5700000,60,2802,2
3500000,42,2573,1
2250000,29,1664,1
4700000,53.5,4026,2
8700000,87,4860,4
4100000,35,1001,2
5750000,68,3215,2
2650000,28,1373,1
2710000,23,2011,1
2495000,23.5,1380,1
3355000,40,2219,1
4050000,42,1723,2
6500000,58,2160,2
6010000,75,3308,2
6900000,69,2467,2
3e+06,39,2073,2
1e+07,87,1404,3
8950000,79,4611,3
6e+06,59,927,2
4650000,40,900,2
5700000,62,1131,2
5100000,55,3299,2
4790000,53,2430,2
7125000,65,2966,2
9200000,102,3433,3
5750000,86,3411,3
4100000,65,3729,3
11600000,116,3782,3
7395000,62,2240,3
3720000,41,2208,2
5850000,72,3825,3
2200000,19,1917,1
5550000,61,1177,2
5200000,54,2551,3
3900000,41.5,2105,2
4900000,58,2499,2
4495000,56,3233,2
3900000,39,1079,1
4400000,40,1030,2
3900000,49,2801,2
3100000,33,2039,2
4500000,57,3245,2
4200000,41,135,2
9500000,78,3026,2
5270000,55,2718,2
4750000,61,3497,2
4100000,49,2222,2
8100000,82,3384,3
5100000,54,2600,2
5400000,64,1948,2
3600000,48,2271,2
2895000,37,1310,1
11500000,103,4561,5
5050000,70,1968,3
2810000,19,1298,1
5050000,64,3403,3
2700000,31,2431,1
4120000,30,2089,2
6300000,68,3521,3
5500000,52,1939,2
3650000,48,2996,2
2800000,38,2198,2
4750000,56,3099,2
7160000,96,5310,4
2800000,25,1635,1
7450000,57,3755,2
2950000,26,1948,1
3900000,34,2159,2
6500000,59,2933,3
4900000,60,4220,2
6400000,52,2294,2
4500000,49,2222,2
6350000,70,3092,3
7800000,84,4251,3
3565000,44,2070,1
5800000,68,4166,3
4e+06,44,2460,2
2800000,28,1265,1
1e+07,118,6174,4
6275000,63,1515,2
12600000,108,2019,4
3820000,42.5,1826,2
4620000,41,1301,2
9700000,97,4130,4
3030000,30,838,1
3275000,47,2789,3
4400000,48,1948,2
4035000,50,3357,2
6250000,82,3756,3
5195000,87.5,4049,3
5150000,58,3455,2
8360000,85,5265,3
3700000,52,2670,2
2500000,24,1731,1
3515000,34,2074,2
2940000,26,1817,1
3200000,37,2385,1
3500000,40,2291,2
4900000,60,1426,2
2740000,30,1565,1
6100000,68,3853,3
2800000,35,1431,1
4500000,36,1930,2
5610000,60,2890,2
7450000,82,3599,3
3370000,34,2778,1
4e+06,51,3101,3
4260000,57,3686,3
2870000,29,1546,1
10925000,102,5711,4
5810000,77,4320,3
3600000,38,1509,2
6250000,57,3593,2
7150000,68,2722,3
3325000,39,2939,2
5150000,59,2763,3
9600000,93,828,3
3800000,56,2496,2
5500000,68,2916,3
3300000,33,1496,1
2310000,21,1276,1
3225000,44.2,2990,2
3750000,45,2215,2
5100000,54,2622,2
5900000,78.5,4525,3
5500000,85,3533,3
3250000,44.2,2990,2
6800000,96,3529,3
4820000,56,2138,2
3090000,31,1922,1
5600000,43,1678,2
4460000,65,2799,2
5500000,57.3,2547,2
4550000,55,2111,2
5760000,64,3549,2
5300000,77,3481,2
15100000,138,4341,4
3610000,34,1660,1
4310000,57,2723,2
3950000,49,2154,2
3475000,34,2296,2
2750000,26,1160,1
9110000,89,4015,4
5950000,56,2561,2
2500000,22,1736,1
5285000,63,1633,3
2950000,29.5,2490,1
12225000,102,3219,4
11700000,136,6472,5
1e+07,80,2352,3
5e+06,59,2083,2
5100000,52,2038,2
2900000,34,2307,1
9650000,100,5333,3
2800000,28,1524,1
9450000,111,5120,4
4800000,44,2226,2
5500000,58,3688,2
3470000,35,2302,1
5e+06,33,1560,2
3200000,37.5,2349,2
3600000,39,1568,1
4275000,45.5,2185,2
6075000,62,2444,2
3750000,39,2379,1
5300000,72,3553,3
7700000,80,4499,3
3830000,33,1984,1
7010000,100,4659,3
4e+06,47,2670,2
4505000,61,2303,2
9700000,101,4016,4
2850000,33,2028,1
3650000,46,2921,2
6850000,65,3329,2
5200000,58,3480,3
4125000,59.5,3440,2
7600000,76,4284,3
5625000,65,2763,2
7500000,91,3857,3
5050000,46,2537,3
4050000,40,2257,2
3890000,43,2280,2
10850000,111.5,4396,4
11600000,106,2278,4
5600000,46,2038,2
2950000,36,1496,1
3e+06,27,1536,1
3600000,32,240,1
4150000,39.5,3129,2
6050000,57,1509,2
2300000,24,1297,1
8150000,70,3088,3
3750000,40.5,2017,2
7625000,72,1775,3
3850000,48,1977,2
4250000,34,570,2
7600000,71.8,2219,2
6070000,70,2957,2
2850000,40,2661,2
5200000,60.5,3959,2
2625000,26,2265,1
6500000,79,4687,3
9810000,115,4216,5
7800000,84,4918,3
3130000,32,1839,1
3975000,55,3047,3
6e+06,48,1798,2
3720000,35,2110,1
7300000,114.5,7868,5
5900000,55,3218,2
6900000,73,4573,3
5800000,60,1572,2
5700000,68,4024,3
5e+06,58,2900,2
2950000,34,2395,2
1e+07,97,4298,4
5350000,55,2807,2
6450000,68,3140,3
10200000,118.5,7219,5
2300000,19,1112,1
12700000,112,5666,4
6785000,70,3605,3
3500000,29,1479,1
4100000,38,1515,2
4225000,45,2091,2
3500000,36,852,1
6500000,74,3214,3
3100000,32,1350,1
6800000,89.5,3181,3
3565000,33,1797,2
4400000,51,2845,2
3800000,33,2248,1
4300000,62,3769,2
6e+06,77,3481,2
6500000,72,4864,2
4400000,63,3341,2
3050000,45,2511,2
17700000,154,4041,4
9470000,80,2150,3
4150000,39,2798,2
4850000,63,2784,3
4200000,37,1716,1
5370000,63,3239,3
2e+07,154,8865,6
8530000,89,3165,3
5100000,52,2269,2
3150000,25.5,1250,1
10850000,107,4090,4
7850000,91,4389,4
2750000,27,1537,1
9210000,102,3894,3
8900000,102.5,4842,4
4770000,52,3379,2
4515000,55,2230,2
5850000,62,3437,3
2790000,33,2227,1
7250000,67,3673,3
3500000,42,2205,2
2995000,39,2231,2
3830000,41,1228,1
6600000,74,2447,3
5500000,57,2823,2
4400000,44,2283,2
4225000,43,1953,2
3900000,41,2338,2
4525000,55,2862,2
3220000,35,1493,1
4700000,80.8,3595,3
3e+06,30,1610,1
3550000,36,862,1
